frame,sim_t,state,yellow_frac,n_raw,n_filt,cx,err,steer,nolf,lidar,n_obj,top_model,top_color,top_area,top_px,bus_str
37,0.38,LINE_FOLLOW,0.035,3,3,98.1,-0.019,-0.0026,0,44.47,20,road,RGB(0.200,0.200,0.200),8001,64,0
38,0.39,LINE_FOLLOW,0.035,2,2,98.0,-0.020,-0.0071,0,44.45,20,road,RGB(0.200,0.200,0.200),8001,64,0
39,0.40,LINE_FOLLOW,0.035,2,2,98.0,-0.020,-0.0057,0,44.44,20,road,RGB(0.200,0.200,0.200),8001,64,0
40,0.41,LINE_FOLLOW,0.035,2,2,98.5,-0.015,0.0007,0,44.42,20,road,RGB(0.200,0.200,0.200),8001,64,0
41,0.42,LINE_FOLLOW,0.035,2,2,98.5,-0.015,-0.0043,0,44.41,20,road,RGB(0.200,0.200,0.200),8001,64,0
42,0.43,LINE_FOLLOW,0.035,2,2,98.5,-0.015,-0.0043,0,44.40,20,road,RGB(0.200,0.200,0.200),8001,64,0
43,0.44,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0077,0,44.38,20,road,RGB(0.200,0.200,0.200),8001,64,0
44,0.45,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,44.37,20,road,RGB(0.200,0.200,0.200),8001,64,0
45,0.46,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,44.35,20,road,RGB(0.200,0.200,0.200),8001,64,0
46,0.47,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,44.34,20,road,RGB(0.200,0.200,0.200),8001,64,0
47,0.48,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,44.32,20,road,RGB(0.200,0.200,0.200),8001,64,0
48,0.49,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,44.31,20,road,RGB(0.200,0.200,0.200),8001,64,0
49,0.50,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,59.62,20,road,RGB(0.200,0.200,0.200),8001,64,0
50,0.51,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,59.60,21,road,RGB(0.200,0.200,0.200),8001,64,0
51,0.52,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,59.58,22,road,RGB(0.200,0.200,0.200),8001,64,0
52,0.53,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,59.56,22,road,RGB(0.200,0.200,0.200),8001,64,0
